Create Time	Author ID	Description
2024-11-11T18:33:13.000Z	1667844227642847234	Black Friday Offer. lick mat pad dogs Buy Now from Here 😍👇 https://t.co/woqjTV0gGB I Need This #petproducts #dogsupply #dogsupplements #lickymat #feeder #blackfriday #BlackFridayDeals #BlackFridaySale #CyberMonday #lickylicky #mats2024 #cat #dog #cilicone #licking #dogs #Dog https://t.co/aKwqOA3mL5
2024-11-11T18:32:44.000Z	1845995744697675776	Pra combinar com o manto campeão! OFERTA DO DIA  Tênis Lite Racer 4.0 adidas  De R$299,99 por R$169,9943% OFF em 8x R$21,25 sem juros com cartões de crédito  https://t.co/H5b55AYm8J  #oferta #ofertas #promoção #blackfriday https://t.co/AMH84s0O63
2024-11-11T18:32:41.000Z	1828512607973842944	💥 It’s time! 💥 Black Friday Deals Week starts NOW at https://t.co/L7malenu7d! From November 11th–16th, save 20% on CBD oils, creams, and patches. Stock up, gift wellness, and grab these deals before they're gone! 🔥 Shop now #BlackFriday #ReleefDirect #HolidayDeals
2024-11-11T18:31:48.000Z	4422116424	#HoyCelebramos 📅🛍️🌏💸  El #DíaMundialdelShopping, una fecha que va completamente ligada al #DíadelSoltero o #SinglesDay, convirtiéndose en uno de los mayores eventos de ofertas y promociones que se incrementa cada año antes del popular #BlackFriday. https://t.co/6ZNGvS002J
2024-11-11T18:31:39.000Z	523581992	@TheFIXza #BlackFriday 💞💞💞 @MarilynCecilia3
2024-11-11T18:31:28.000Z	523581992	@TheFIXza #BlackFriday 💞💞💞 @KreuschJulie
2024-11-11T18:31:10.000Z	3437536187	🌟 Comedouro Personalizado Com TAMPAS Duplo + Tigelas 🌟  🛍️ Por apenas R$ 35,90 💳🏃‍♀️💨  👉 Garanta já o seu! https://t.co/ln9O8WzPga 👈  #TOP #Oferta #Promoção #Desconto #Cupom #BlackFriday #CyberMonday #CyberWeek
2024-11-11T18:30:38.000Z	1819173879983886337	✅ Massageador Elétrico Profissional Muscular 6 Velocidade Massagem - dfjn   💸 De: R$ 75,00  🔥 Por: R$ 63,99  🔗 https://t.co/U2rQWqQXcQ  Entre no nossos grupos 👇  \https://t.co/6nR1YgFd2c   #promocao #oferta #blackfriday #desconto #ofertaodeouro #promo #compras https://t.co/GvPkPQMega
2024-11-11T18:30:18.000Z	523581992	@TheFIXza #BlackFriday 💞💞💞 @RekhaRamkissoo1
2024-11-11T18:30:15.000Z	1839788525719359489	@TheFIXza #BlackFriday @BethuelKarabo1
